InputIndices,TestResults
0,0
100,3
200,0
300,0
400,0
500,0
600,0
700,1
800,0
900,0
1000,7
1100,1
1200,1
1300,7
1400,7
1500,1
1600,1
1700,8
1800,5
1900,6
2000,5
2100,4
2200,1
2300,11
2400,4
2500,1
2600,5
2700,9
2800,5
2900,5
3000,7
3100,8
3200,6
3300,9
3400,6
3500,6
3600,8
3700,8
3800,6
3900,13
4000,6
4100,13
4200,8
4300,12
4400,5
4500,12
4600,9
4700,6
4800,12
4900,9
5000,13
5100,9
5200,11
5300,8
5400,13
5500,11
5600,11
5700,10
5800,15
5900,11
6000,15
6100,5
6200,17
6300,15
6400,10
6500,15
6600,13
6700,16
6800,12
6900,18
7000,19
7100,19
7200,19
7300,23
7400,17
7500,18
7600,20
7700,17
7800,14
7900,20
8000,17
8100,21
8200,18
8300,22
8400,21
8500,19
8600,18
8700,21
8800,20
8900,21
9000,22
9100,17
9200,25
9300,19
9400,22
9500,21
9600,17
9700,25
9800,21
9900,19
10000,24
10100,46
10200,40
10300,35
10400,34
10500,41
10600,37
10700,39
10800,36
10900,48
11000,50
11100,40
11200,32
11300,35
11400,30
11500,38
11600,36
11700,33
11800,33
11900,36
12000,35
12100,27
12200,35
12300,34
12400,27
12500,34
12600,31
12700,36
12800,30
12900,34
13000,32
13100,28
13200,26
13300,27
13400,25
13500,22
13600,28
13700,29
13800,22
13900,21
14000,20
14100,19
14200,22
14300,18
14400,18
14500,18
14600,17
14700,15
14800,18
14900,20
15000,14
15100,15
15200,15
15300,12
15400,18
15500,14
15600,19
15700,12
15800,16
15900,12
16000,16
16100,9
16200,8
16300,11
16400,9
16500,15
16600,10
16700,11
16800,11
16900,8
17000,10
17100,7
17200,8
17300,7
17400,10
17500,5
17600,8
17700,9
17800,9
17900,7
18000,3
18100,6
18200,10
18300,1
18400,7
18500,5
18600,8
18700,1
18800,4
18900,7
19000,5
19100,4
19200,0
19300,1
19400,0
19500,0
19600,0
19700,10
19800,0
19900,0
